rank,player_id,player,goalkeeper_saves,goalkeeper_actions_inside_the_penalty_area,goalkeeper_actions_outside_the_penalty_area,image_url
43,469,Manuel Neuer,7,61,45,https://digitalhub.fifa.com/transform/e3701d06-66b5-4728-8bad-fea05319b6b8/NEUER-Manuel_228912?&io=transform:fill
43,146,Maxime Crepeau,7,49,40,https://digitalhub.fifa.com/transform/c4570ca7-10a7-44ca-901d-fee1e11e4400/CREPEAU-Maxime_331732?&io=transform:fill
47,614,Aymen Dahmen,6,51,44,https://digitalhub.fifa.com/transform/90030173-815d-4411-8eac-20fb42834f9d/DAHMEN-Aymen_433365?&io=transform:fill
48,933,Mory Diaw,5,53,45,https://digitalhub.fifa.com/transform/79100f28-7542-4023-b782-e40ecd748f93/DIAW-Mory_448821?&io=transform:fill
48,897,Egil Selvik,5,25,22,https://digitalhub.fifa.com/transform/b6e7f73a-c70c-4f7c-b0a4-37c8961fb019/SELVIK-Egil_483535?&io=transform:fill
48,1130,Abduvohid Nematov,5,55,44,https://digitalhub.fifa.com/transform/1f1bfea3-5228-4270-ad8d-c1c8f08ef522/NEMATOV-Abduvohid_479110?&io=transform:fill
51,595,Kristoffer Nordfeldt,4,22,20,https://digitalhub.fifa.com/transform/747828c3-0592-411d-889a-9a59ae78e0b6/NORDFELDT-Kristoffer_360496?&io=transform:fill
51,829,Fernando Muslera,4,41,34,https://digitalhub.fifa.com/transform/bec34ba5-7129-44fe-b108-bc57a1fd3257/MUSLERA-Fernando_229498?&io=transform:fill
53,880,Ahmed Basil,3,43,36,https://digitalhub.fifa.com/transform/a9d30885-9966-457c-9a44-07e5cf8eee93/AHMED-BASIL_433571?&io=transform:fill
54,636,Senne Lammens,2,7,5,https://digitalhub.fifa.com/transform/9e407610-b85c-45d8-847a-2bae1d24e699/LAMMENS-Senne_495348?&io=transform:fill
55,1119,Utkir Yusupov,1,27,21,https://digitalhub.fifa.com/transform/c3025d34-eb01-4b77-85bd-127f692514c8/YUSUPOV-Utkir_479077?&io=transform:fill
55,599,Mouhib Chamakh,1,26,20,https://digitalhub.fifa.com/transform/7047e775-2f2c-4ea2-9ca6-6fc23363c591/CHAMAKH-Mouhib_520245?&io=transform:fill
57,1208,Joseph Anang,0,0,0,https://digitalhub.fifa.com/transform/ddb39257-eec9-4097-bc08-6f1dbe034dec/ANANG-Joseph_506277?&io=transform:fill
